ano,estacao_met,producao,area,rendimento_medio
2011,A811,0,0,0
2012,A811,0,0,0
2013,A811,0,0,0
2014,A811,0,0,0
2015,A811,0,0,0
2016,A811,24000,150,160
2017,A811,182000,182,1000
2018,A811,229000,232,987
2019,A811,380000,245,1551
2020,A811,440000,230,1913
2021,A811,800000,230,3478
2022,A811,975000,280,3482
2023,A811,1240000,285,4351
2013,A893,8000,5,1600
2014,A893,3000,15,200
2015,A893,3000,15,200
2016,A893,23000,15,1533
2017,A893,114000,57,2000
2018,A893,114000,57,2000
2019,A893,62000,77,805
2020,A893,8000,77,104
2021,A893,89000,177,503
2022,A893,403000,350,1151
2023,A893,990000,550,1800
2011,A812,40000,30,1333
2012,A812,40000,30,1333
2013,A812,50000,46,1087
2014,A812,50000,46,1087
2015,A812,11000,55,200
2016,A812,31000,71,437
2017,A812,71000,71,1000
2018,A812,71000,71,1000
2019,A812,96000,96,1000
2020,A812,78000,96,813
2021,A812,80000,96,833
2022,A812,300000,138,2174
2023,A812,304000,138,2203
2015,A827,4,4,1000
2016,A827,4,4,1000
2017,A827,4,4,1000
2018,A827,4,4,1000
2019,A827,2,20,100
2020,A827,20,20,1000
2021,A827,20,20,1000
2022,A827,150,150,1000
2023,A827,150,150,1000
2020,A832,32,70,500
2021,A832,160,40,4000
2022,A832,74,56,1321
2023,A832,66,72,917
2018,A838,2,4,500
2019,A838,2,4,500
2020,A838,2,4,500
2021,A838,2,4,500
2022,A838,2,4,500
2023,A838,2,4,500
2012,A881,24,2,1000
2013,A881,3,2,1000
2014,A881,2,2,1000
2015,A881,45,30,1500
2016,A881,45,30,1500
2017,A881,33,30,1100
2018,A881,33,30,1100
2019,A881,60,30,2000
2020,A881,37,37,1000
2021,A881,46,37,1243
2022,A881,282,188,1500
2023,A881,651,217,3000
2015,A803,15000,6,2500
2016,A803,6000,6,1000
2017,A803,92000,46,2000
2018,A803,228000,65,3508
2019,A803,308000,77,4000
2020,A803,270000,77,3506
2021,A803,98000,49,2000
2022,A803,84000,57,1474
2023,A803,171000,57,3000